report_id,country,region,date_reported,species,disease,confirmed_cases,deaths,outbreak_status,notes,source,latitude,longitude
7cda1a50-2034-4b9a-b356-6219c91c13e1,Mongolia,N/A,2022-03-08,Unknown,Peste des petits ruminants virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
90e92d52-100a-46e8-9e00-27c3a0eec95f,Niger,N/A,2022-03-08,Unknown,Rift Valley fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
e6845074-51c6-4f05-adb7-c154ba203999,Israel,N/A,2022-03-06,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
5ee290fe-e077-4fbb-afe7-924cfbbc5269,Kazakhstan,N/A,2022-03-04,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
e9ca57c8-6e8e-4219-89ea-493cb1b1c6d6,China (People's Rep. of),N/A,2022-03-04,Unknown,Burkholderia mallei (Inf. with) (Glanders),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
7fa17ac6-fa7b-41fb-ba18-0178d937e0bd,Russia,N/A,2022-03-01,Goat,Sheep pox and goat pox,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
aeee49ca-695e-4b81-91dd-c2d1247dcfe5,Russia,N/A,2022-03-01,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
6cbf44c4-8c64-4e73-be3e-191adbfb84fa,Finland,N/A,2022-03-01,Horse,Theileria equi and Babesia caballi (Inf. with) (Equine piroplasmosis),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
032910fb-ba2f-4a67-8e4b-d5224dd21973,Zambia,N/A,2022-03-01,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
3ba924a5-b171-494e-bd40-5b278b6efc85,Vietnam,N/A,2022-03-01,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
4cf524f5-6184-4fbb-827a-5f211ddc1047,Moldova,N/A,2022-02-25,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,First occurrence in the country,https://wahis.woah.org,,
4e1657fc-c140-4f86-a954-b730670d2e62,Lithuania,N/A,2022-02-25,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
175a6c3f-05f4-4c89-b178-e56b545fd72c,Lithuania,N/A,2022-02-25,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
ac42f315-0026-4150-92a4-b281009965f4,Russia,N/A,2022-02-24,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
94cb7217-e916-4b8e-9149-3c6ccd88e055,Cameroon,N/A,2022-02-22,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
dbe5e9e0-b79c-40d1-b7b7-ef2e817c47cc,Namibia,N/A,2022-02-22,Cattle,Foot and mouth disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
191e8dba-cd28-4721-96af-26d5dc4f3981,Hong Kong,N/A,2022-02-21,Unknown,SARS-CoV-2 in animals (Inf. with),0,0,Resolved,Emerging disease,https://wahis.woah.org,,
74ef23a4-7885-4581-809f-d5f8e62f1cab,Finland,N/A,2022-02-18,Unknown,SARS-CoV-2 in animals (Inf. with),0,0,Resolved,Emerging disease,https://wahis.woah.org,,
7c82fefa-c564-4303-bf16-b01bd4a70a91,Russia,N/A,2022-02-17,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
1f1c9dde-8df8-4f27-b633-9b33346c95ed,Senegal,N/A,2022-02-17,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
4fae2315-71d7-4027-972d-1328043ce960,Slovenia,N/A,2022-02-17,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
a8656e5d-525c-4e06-be3e-572ee2b78372,Romania,N/A,2022-02-16,Unknown,Viral haemorrhagic septicaemia virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
